id,clause_v1,clause_v2,section,text_v1,text_v2,annotator_change_type,annotator_alignment_ok,annotator_notes
31,Table B4,,Appendix C,"Minimum periods of fire resistance Purpose group of building Minimum periods of fire resistance(1) (minutes) in a: Basement storey* including floor over Ground or upper storey Depth (m) of the lowest basement Height (m) of top floor above ground, in a building or separated part of a building More than 10 Up to 10 Up to 5 Up to 18 Up to 30 More than 30 1. Residential: a. Block of flats - without sprinkler 90 min 60 min 30 min† 60 min+§ 90 min+ Not permitted(2) system - with sprinkler system(3) 90 min 60 min 30 min† 60 min+§ 90 min+ 120 min+ b. and c. Dwellinghouse Not applicable(4) 30 min*† 30 min† 60 min(5) Not applicable(4) Not applicable(4) 2. Residential: a. Institutional 90 min 60 min 30 min† 60 min 90 min 120 min‡ b. Other residential 90 min 60 min 30 min† 60 min 90 min 120 min‡ 3. Office: - without sprinkler 90 min 60 min 30 min† 60 min 90 min Not permitted(6) system - with sprinkler system(3) 60 min 60 min 30 min† 30 min† 60 min 120 min‡ 4. Shop and commercial: - without sprinkler 90 min 60 min 60 min 60 min 90 min Not permitted system - with sprinkler system(3) 60 min 60 min 30 min† 60 min 60 min 120 min‡ 5. Assembly and recreation: - without sprinkler 90 min 60 min 60 min…",,,,
32,Diagram 5.2,,Requirement B1 page 8,"Rooftop plant boundary 11.9 External walls within 1000mm of relevant Height of top storey in building Diagram D6 Separation distances 11.14, 12.3-12.9, Table 12.1 See also Flat roofs; Pitched roofs Roof space boundary 11.8 Separation distances for roofs 12.3-12.9, Tables 12.1 to 12.3 Small residential buildings Diagram 11.7 Residential (institutional) purpose group 1.13, Cavity barriers Diagram 2.3 See also Loft conversions Rooftop plant",,,,
33,8.2,8.2,Section 8 Cavities - flats,"To reduce the potential for fire spread, cavity barriers should be provided for both of the following. a. To divide cavities. b. To close the edges of cavities. See Diagram 8.1. Cavity barriers should not be confused with fire-stopping details (Section 9). Pathways around fire-separating elements Junctions and cavity closures","To reduce the potential for fire spread, cavity barriers should be provided for both of the following. a. To divide cavities. b. To close the edges of cavities. See Diagram 8.1. Cavity barriers should not be confused with fire-stopping details (Section 9). Pathways around fire‐separating elements Junctions and edges of cavities",,,
34,Table B3,Table B3,"Section 3 , Diagram 3.4.","Continued Part of building provisions when tested to the relevant European standard (minutes)(1) Alternative minimum provisions when tested to the relevant part of BS 476(2) (minutes) Type of exposure Loadbearing capacity(3) Integrity Insulation 15. Fire resisting construction a. construction that 30 min 30 min 30 min encloses places of special fire hazard b. construction 30 min 30 min 30 min between store rooms and sales area in shops c. fire resisting 30 min 30 min 30 min sub-division d. construction that 30 min 30 min 30 min encloses bedrooms and ancillary accommodation in care homes. 16. Enclosure in a flat REI 30(8) 30 min 30 min 30 min(8) to a protected entrance hall, or to a protected landing. 17. Cavity barrier E 30 and EI 15 30 min 15 min 18. Ceiling see paragraph EI 30 30 min 30 min From underside 2.5 and Diagram 2.3; paragraph 8.5 and","Continued Position of glazed element Maximum total glazed area in parts of a building with access to: A single stair More than one stair 12. Beside an external escape stair (see paragraph 3.68 and Diagram 3.11) or roof escape route (see paragraph 3.30). Items 1 and 8 apply also to single storey buildings. Fire resisting glass should be marked with the name of the manufacturer and the name of the product. Further guidance can be found in A Guide to Best Practice in the Specification and Use of Fire-resistant Glazed Systems published by the Glass and Glazing Federation. 1. If the protected stairway is also a protected shaft or a firefighting stair (see Section 15), there may be further restrictions on the use of glazed elements. 2. Measured vertically from the landing floor level or the stair pitch line. 3. The 100mm limit is intended to reduce the risk of fire spreading from a floor covering. C Effective until 1 September 2029 - see 2029 amendment, page 160",,,
35,17.3,17.3,Section 17 Fire safety information,"Basic information on the location of fire protection measures may be sufficient. An as-built plan of the building should be provided showing all of the following. a. Escape routes - this should include exit capacity (i.e. the maximum allowable number of people for each storey and for the building). b. Location of fire-separating elements (including cavity barriers in walk-in spaces). c. Fire doorsets, fire doorsets fitted with a self-closing device and other doors equipped with relevant hardware. d. Locations of fire and/or smoke detector heads, alarm call points, detection/alarm control boxes, alarm sounders, fire safety signage, emergency lighting, fire extinguishers, dry or wet fire mains and other firefighting equipment, and hydrants outside the building. e. Any sprinkler systems, including isolating valves and control equipment. f. Any smoke control systems, or ventilation systems with a smoke control function, including mode of operation and control systems. g. Any high risk areas (e.g. heating machinery).","The essential information provided should be sufficient to enable the relevant dutyholder to understand, operate and maintain the building (including the fire safety systems in it). It should make it clear how the fire safety arrangements of the building are intended to operate together. In cases where a fire safety strategy has been prepared (e.g. as part of the design and construction process for a building or building work), then this should be made available to the relevant dutyholder.",,,
36,10.14,10.14,Section 10 Resisting fire spread over,"The provisions of regulation 7 apply in addition to requirement B4. Therefore, for buildings described in regulation 7(4), the potential impact of any products incorporated into or onto the external walls and specified attachments should be carefully considered with regard to their number, size, orientation and position. B4","Regulation 7(2) applies to any building with a storey at least 18m above ground level (as measured in accordance with Diagram D6 in Appendix D) and which contains one or more dwellings; an institution; or a room for residential purposes. It requires that all materials which become part of an external wall or specifed attachment achieve class A2-s1, d0 or class A1 in accordance with BS EN 13501-1, other than those exempted by regulation 7(3). NOTE: The above includes student accommodation, care homes, sheltered housing, hospitals, dormitories in boarding schools, hotels, hostels and boarding houses. See regulation 7(4) for the defnition of relevant buildings.",,,
37,17.6,17.6,Section 17 Fire safety information,"The records should include details of all of the following. a. The fire safety strategy, including all assumptions in the design of the fire safety systems (such as fire load). Any risk assessments or risk analysis. b. All assumptions in the design of the fire safety arrangements for the management of the building. c. All of the following. i. Escape routes (including occupant load and capacity of escape routes). ii. Any provision to enable the evacuation of disabled people. iii. Escape strategy (e.g. simultaneous or phased). iv. Muster points. d. All passive fire safety measures, including all of the following. i. Compartmentation (i.e. location of fire-separating elements). ii. Cavity barriers. iii. Fire doorsets, including fire doorsets fitted with a self-closing device and other doors equipped with relevant hardware (e.g. electronic security locks). iv. Duct dampers. v. Fire shutters. e. All of the following. i. Fire detector heads. ii. Smoke detector heads. iii. Alarm call points. iv. Detection/alarm control boxes. v. Alarm sounders. vi. Emergency communications systems. vii. CCTV. viii. Fire safety signage. ix. Emergency lighting. x. Fire extinguishers. xi. Dry or wet fire ma…",A detailed record should be provided of both of the following. a. The fire safety strategy. b. Procedures for operating and maintaining any fire protection measures. This should include an outline cause and effect matrix/strategy for the building. Further guidance is available in clause 9 and Annex H of BS 9999.,,,
38,Appendix E,Appendix E,Appendix E (smoke alarms should also be provided in accordance with Section 1).,Sprinklers Sprinkler systems E1 Sprinkler systems installed in buildings can reduce the risk to life and significantly reduce the degree of damage caused by fire within a building. E2 Further recommendations for the provision of sprinklers are provided in the following sections: Volume 1 - Dwellings Functional requirement Paragraph Title B1,"(smoke alarms should also be provided in accordance with Section 1). d. Approach 4 - if the vertical distance between the entrance storey of the flat and any of the storeys above or below does not exceed 7.5m, provide all of the following. B1 i. A protected stairway. ii. Additional smoke alarms in all habitable rooms. A heat alarm in any kitchen. See para 3.21 a. Entrance level b. Level(s) above or below entrance level Exit Exit 9m max. Alternative exit Bathroom NOTE: This only applies where at least one storey is more than 4.5m above ground level. 9m max. WC Flat entrance Exit Exit",,,
39,,Table B1,"Section 3 , Diagram 3.11).",,"Continued Minimum provisions when tested and classified to the relevant European standard (minutes)(1) or assessed following the recommendations of paragraphs B1 to B5 (minutes)(2) Type of exposure 7. Compartment walls (other than in item 6 or item 10). 8. Protected shafts Excluding any firefighting shaft: a. any glazing described in Section 7,",,,
40,7.18,7.18,Section 7 Compartmentation/sprinklers - flats,"As an alternative to the provisions of paragraph 7.16 or 7.17, the compartment wall may extend through the roof for a minimum of either of the following (see Diagram 5.2c). a. Where the height difference between the two roofs is less than 375mm, 375mm above the top surface of the adjoining roof covering. b. 200mm above the top surface of the adjoining roof covering where either of the following applies. i. The height difference between the two roofs is 375mm or more. ii. The roof coverings either side of the wall are of a material classified as BROOF(t4). Openings in compartmentation Openings in compartment walls separating buildings or occupancies","As an alternative to the provisions of paragraph 7.16 or 7.17, the compartment wall may extend through the roof for a minimum of either of the following (see Diagram 5.2c). a. Where the height difference between the two roofs is less than 375mm, 375mm above the top surface of the adjoining roof covering. b. 200mm above the top surface of the adjoining roof covering where either of the following applies. i. The height difference between the two roofs is 375mm or more. ii. The roof coverings either side of the wall are of a material classified as BROOF(t4). Openings in compartmentation Openings in compartment walls separating buildings or occupancies",,,
41,Requirement B4,Requirement B4,Requirement B4 page 81,page 76 Roof coverings 12.1-12.9 Automatic fire detection and alarm systems Activation of air extraction system 16.12 Activation of door release mechanism Separation distances for roofs Tables 12.1 to 12.3 External walls Appendix C6 In mixed use buildings 3.77 In student residences 1.11 Design and installation 1.14 Interface with other systems 1.15 Power supply 1.4,"page 81 182 Approved Document B Volume 1, 2019 edition Roof coverings 12.1-12.9 Separation distances for roofs Tables 12.1 to 12.3 External walls Activation of door release mechanism Appendix C6 In mixed use buildings 3.77 In student residences 1.11 Design and installation 1.14 Interface with other systems 1.15 Power supply 1.4",,,
42,,15.17,Section 15 Access to buildings for firefighting,,In blocks of flats (purpose group 1(a)) with a top storey over 18m above ground level (see Diagram D6 in Appendix D) an evacuation alert system should be provided in accordance with BS 8629. Secure information boxes,,,
43,,Requirement B3,Requirement B3 page 54,,"page 54 Internal linings Suspended ceilings 4.17, Table 4.2 Thermoplastic 4.15-4.16, Diagram 4.1 Fire resistance Appendix B11 Layout restrictions Diagrams 4.2 and 4.3, Table 4.2 Linings See Internal linings Live/work units 3.24 Loadbearing capacity Classifcation 4.1, Table 4.1 Protection of substrate Appendix B13",,,
44,Table B3,,Appendix G Documents referred to,"BS EN 13501-5 Appendix B16 to B18, Table B2 BS EN 14306 Appendix B9 BS EN 14604 1.2 BS EN 15102 Table 4.1 BS EN 15650 9.20-9.21 BS EN 15725 Appendix B4 BS EN 50200 3.47 BS EN ISO 306 Appendix B11 Building control body page iv Building dimensions Measurement methods Diagrams D2 to D6 Building Regulations 2010 pages iii-iv Buildings of architectural or historical interest 0.10, 2.22 Building work page iii Bungalows See Single storey buildings C Cables See Electrical wiring Canopies 11.12-11.13, Diagram 11.6 Car parks Air extraction systems 9.10 Covered 3.28, 3.73 Enclosed Lifts 3.102 Smoke ventilation 3.75 Escape stairs serving 3.73, 3.75 Minimum periods of fire resistance Table B4 Recessed car parking areas Diagram A1 Sprinkler systems 16.11 Cavities 5.16 Thermoplastic lighting diffusers 4.16, Table 4.2 Wall and ceiling linings Table 4.1, Table 4.2 Cladding 10.5-10.6, Table 10.1 Flexible membranes 4.8 Codes of practice Appendix G Collapse Fire resisting ceilings below Diagram 8.3 See also Cavity barriers; Cavity walls Cavity barriers Resistance to 5.23, Appendix B19 Columns Alternative escape routes 8.6 Cavity walls excluded Diagram 5.3 Construction and fixings 5.20-5.23, 8.8-8.9 D…",,,,
45,3.95,3.95,"Appendix C , Table C1.","All doors on escape routes should be hung to meet both of the following conditions. a. Open by a minimum of 90 degrees. b. Open with a swing that complies with both of the following. i. Is clear of any change of floor level, other than a threshold or single step on the line of the doorway. ii. Does not reduce the effective width of any escape route across a landing.","All doors on escape routes should be hung to meet both of the following conditions. a. Open by a minimum of 90 degrees. b. Open with a swing that complies with both of the following. i. Is clear of any change of floor level, other than a threshold or single step on the line of the doorway. ii. Does not reduce the effective width of any escape route across a landing.",,,
46,7.27,7.27,Appendix C,"In a protected shaft, any pipe carrying natural gas or LPG should be both of the following. a. Of screwed steel or all-welded steel construction. b. Installed in accordance with both of the following. i. The Pipelines Safety Regulations 1996. ii. The Gas Safety (Installation and Use) Regulations 1998. Ventilation of protected shafts conveying gas","In a protected shaft, any pipe carrying natural gas or LPG should be both of the following. a. Of screwed steel or all-welded steel construction. b. Installed in accordance with both of the following. i. The Pipelines Safety Regulations 1996. ii. The Gas Safety (Installation and Use) Regulations 1998. Ventilation of protected shafts conveying gas",,,
47,Table B4,,"Section 3 , Diagram",for the compartment wall/floor Half the period given in Table B4 for the compartment wall/floor Half the period given in Table B4 for the compartment wall/floor From outside in Diagram 9.5. B,,,,
48,,B5,"Appendix B Performance of materials,",,"Tests and assessments should be carried out by organisations with the necessary expertise. For example, organisations listed as 'notified bodies' in accordance with the European Construction Products Regulation or laboratories accredited by the United Kingdom Accreditation Service (UKAS) for the relevant test standard can be assumed to have the necessary expertise. NOTE: Standard fire tests do not directly measure fire hazard. They measure or assess the response of a material or system to exposure to one or more aspects of fire conditions. Performance in fire tests is only one of a number of factors that should be taken into account. Reaction to fire B6 Reaction to fire relates to the degree to which a product will contribute, by its own decomposition, to a fire under specified conditions. Products, other than floorings, are classified as A1, A2, B, C, D, E or F (with class A1 being the highest performance and F being the lowest) in accordance with BS EN 13501-1. Class F is assigned when a product fails to attain class E. Untested products cannot be classified in accordance with BS EN 13501-1. Materials covered by the Classification Without Further Testing (CWFT) process can be fo…",,,
49,,3.39,"Appendix C , Table C1.",,Escape route floor finishes should minimise their slipperiness when wet. Finishes include the treads of steps and surfaces of ramps and landings. Ramps and sloping floors,,,
50,,Diagram 7.2,Requirement B1 page 8,,"Ventilation 7.28 Protected stairways 2.9, 3.61-3.64 Access for fre service 15.6-15.7 Air circulation systems in 2.9, 3.23 Dwellinghouses with foor more than 4.5m above Test substrates Appendix B9 Plastics PTFE-based materials 4.9 Roofights 4.7, 4.14 Layout restrictions Diagrams 4.2 to 4.3 Limitations on extent Table 4.2 Limitations on spacing and size Diagram 12.1 Limitations on use 12.5-12.6, Tables 12.2 to 12.3 See also Thermoplastic materials Platform foors ground level 2.5, 2.9, Diagram 2.3 Exits from 3.81 External walls adjacent to 3.63-3.64, 11.10,",,,
51,Appendix D,Appendix D,"Appendix D , Diagram D4.",", Diagram D4. Height of the floor of the top storey above ground level is measured as shown in Appendix D, Diagram D6. Firefighting lift A lift with additional protection and with controls that enable it to be used by the fire and rescue service when fighting a fire. (See",", Diagram D4. A Height of the floor of the top storey above ground level is measured as shown in Appendix D, Diagram D6. Place of special fire hazard A room such as any of the following. Oil-filled transformer room. Inner room Room from which escape is possible only by passing through another room (the access room). Switch gear room. Boiler room. 2026 amendment - effective from 30 September 2026 Storage space for fuel or other highly flammable substance(s). Room that houses a fixed internal combustion engine. Interlocked stair Two interlocking protected stairways providing two separate paths of egress within one protected shaft or separated protected shafts. These are also sometimes referred to as scissor stairs or stacked stairs. Platform floor (also called an access or raised floor) A floor that is supported by a structural floor, but with an intervening cavity to house services. Protected circuit An electrical circuit that is protected against fire. Live/work unit A flat that is a workplace for people who live there, its occupants, and for people who do not live on the premises. Protected corridor/lobby A corridor or lobby that is adequately protected from fire in adjoining are…",,,
52,16.5,16.5,Section 16 Venting of heat and smoke from,"Smoke outlets should be both of the following. a. Sited at high level in either the ceiling or wall of the space they serve. b. Evenly distributed around the perimeter, to discharge to the open air.","Smoke outlets should be both of the following. a. Sited at high level in either the ceiling or wall of the space they serve. b. Evenly distributed around the perimeter, to discharge to the open air.",,,
53,Table C1,Table C1,Appendix C Fire doorsets,"Smoke control Common escape routes 3.49-3.54 Compatibility with ventilation and air- conditioning systems 9.11 By pressure differentials 3.54 Smoke detectors B3 requirement page 49, 5.5 Separated parts of buildings Extract ductwork 9.9 Fire and smoke damper activation 9.14, 9.22 Smoke outlets Compartment walls 7.9 Separation distances Free area of smoke ventilators Appendix D5, Buildings with sprinkler systems 11.21 Canopies 11.12-11.13, Diagram 11.6 Roofs 11.14, 12.3-12.9, Table 12.1 See also Unprotected areas Service openings",Continued Position of door Minimum fire resistance of door in terms of integrity (minutes) when tested to the relevant European standard(1) Minimum fire resistance of door in terms of integrity (minutes) when tested to BS 476-22 6. Giving access to an external escape route 7. Sub-dividing: a. corridors connecting alternative exits E 20 Sa (2) FD 20 S(2) b. dead-end portions of corridors from the E 20 Sa (2) remainder of the corridor. FD 20 S(2) 8. Any door within a cavity barrier 9. Any door that forms part of the enclosure E 20 to a protected entrance hall or protected landing in a flat FD 20 10. Any door that forms part of the enclosure: a. to a place of special fire hazard b. to ancillary accommodation in care homes (see paragraph 2.44 in Approved Document B Volume 2). 11. In a dwellinghouse: a. between a dwellinghouse and a garage E 30 Sa (2) b. forming part of the enclosures to a E 20 protected stairway in a single family dwellinghouse FD 20 c. within any fire resisting construction in a E 20 dwellinghouse not described elsewhere in this table. FD 20 1. Classified in accordance with BS EN 13501-2. National classifications do not necessarily equate with European classification…,,,
54,Diagram 4.2,Diagram 4.2,Section 4 Wall and ceiling linings,"Layout restrictions on class D-s3, d2 plastic rooflights, TP(b) rooflights and TP(b) lighting diffusers B2","Layout restrictions on class D-s3, d2 plastic rooflights, TP(b) rooflights and TP(b) lighting diffusers B2",,,
55,,Appendix C,Appendix C Fire doorsets,,"Fire doorsets C1 All fire doorsets should have the performance shown in Table C1, based on one of the following. a. Fire doorsets should be classified in accordance with BS EN 13501-2, as determined with reference to Commission Decision 2000/367/EC regarding the classification of the resistance to fire performance of construction products, construction works and parts thereof, when tested to the relevant European method from the following. i. BS EN 1634-1. ii. BS EN 1634-2. BS EN 1634-3. b. Fire doorsets may have their performance on fire resistance assessed, following the recommendations of paragraphs B1 to B5, as being capable of meeting a performance classification. In those situations the performance classifications given in Table C1 may be used, presented in terms of integrity, for a period of minutes, when tested to a relevant standard. c. As determined with reference to European Parliament and Council Directive 95/16/EC (which applies to lifts that permanently serve buildings and constructions and specified safety components) on the approximation of laws of Member States relating to lifts ('Lifts Directive') implementing the Lifts Regulations 1997 (SI 1997/831) and calling …",,,
56,Diagram 5.1,,Appendix G Documents referred to,"On escape routes 3.90-3.98 through Table 9.1 Provision 5.5 Alternative exits 3.22 External escape stairs 3.68 External means of escape 2.10 Flats 7.1 Separated parts of buildings 7.9 Concealed spaces Basement storeys 3.9 Flats 3.6 Fire resistance 3.68, 3.87 Fire resisting construction 2.17, Diagram 2.7 Glazed elements 3.88 Loft conversions 2.21-2.23 Openings in cavity barriers 5.24, 8.3 Openings in compartment walls or floors See Cavities Conduits for cables Openings in cavity barriers 5.24 Openings in fire resisting elements 9.24 Cooking facilities Loft conversions 2.23 Room containing a gallery Diagram 2.6, 7.19-7.20 Vision panels 3.97 Width measurement Appendix D4, Diagram D1 See also Automatic doors; Fire doorsets Double-skinned insulated roof sheeting 7.17",,,,
57,7.23,7.23,Appendix C,"The construction enclosing a protected shaft (Diagram 7.1) should do all of the following. a. Form a complete barrier to fire between the compartments connected by the shaft. b. Have the appropriate fire resistance given in Appendix B, Table B3, except for uninsulated glazed screens that meet the provisions of paragraph 7.24. c. Satisfy the provisions for ventilation and the treatment of openings in paragraphs 7.28 and 7.29. See para 7.23 The diagram shows three common examples which illustrate the principles. The elements enclosing the shaft (unless formed by adjacent external walls) are compartment walls and floors. Compartment wall External wall Fd Fd Fd Fd Protected shaft A is bounded on three sides by compartment walls and on the fourth side by an external wall Protected shaft B is bounded on four sides by compartment walls Protected shaft C is a services duct bounded on four sides by compartment walls Fd Fire doorset The shaft structure (including any openings) should meet the relevant provisions for: compartment walls (see paragraphs 7.5 to 7.19), external walls (see sections 10 and 11 and Diagram 3.10).","The construction enclosing a protected shaft (Diagram 7.1) should do all of the following. a. Form a complete barrier to fire between the compartments connected by the shaft. b. Have the appropriate fire resistance given in Appendix B, Table B1, except for uninsulated glazed screens that meet the provisions of paragraph 7.24. c. Satisfy the provisions for ventilation and the treatment of openings in paragraphs 7.28 and 7.29. See para 7.23 This diagram shows three common examples which illustrate the principles of the construction of protected shafts. The elements enclosing the shaft (unless formed by adjacent external walls) are compartment walls and foors. Fd Fire doorset Compartment wall A B C Fd Fd Fd Fd External wall Protected shaft A is bounded on three sides by compartment walls and on the fourth side by an external wall Protected shaft C is a services duct bounded on four sides by compartment walls Protected shaft B is bounded on four sides by compartment walls The shaft structure (including any openings) should meet the relevant provisions for both of the following: compartment walls (see paragraphs 7.5 to 7.20) and external walls (see Sections 10 and 11 and Diagram 3.10).",,,
58,Diagram 2.7,Diagram 2.7,Section 9,Fire resistance of areas near to external stairs B1 Work on existing dwellinghouses Replacement windows,Fire resistance of areas near to external stairs B1 Work on existing dwellinghouses Replacement windows,,,
59,3.13,3.13,Section 3 Means of escape - flats,"A gallery should comply with one of the following. a. It should be provided with an alternative exit. b. It should be provided with an emergency escape window, as described in paragraph 3.6, where the gallery floor is a maximum of 4.5m above ground level. c. It should meet the conditions shown in Diagram 3.1. See para 3.13 1. This diagram does not apply where the gallery is provided with one of the following: i. An alternative escape route ii. An emergency escape window (where the gallery floor is not more than 4.5m above ground level). 7.5 max. 2. Any cooking facilities within a room containing a gallery should comply with one of the following conditions: i. Be enclosed with fire resisting construction ii. Be remote from the stair to the gallery and positioned such that they do not prejudice escape from the gallery. Visible area to be at least 50% of floor area in lower room 3m max. Exit","A gallery should comply with one of the following. a. It should be provided with an alternative exit. b. It should be provided with an emergency escape window, as described in paragraph 3.6, where the gallery floor is a maximum of 4.5m above ground level. c. It should meet the conditions shown in Diagram 3.1. See para 3.13 1. This diagram does not apply where the gallery is provided with one of the following: 7.5 max. i. An alternative escape route ii. An emergency escape window (where the gallery foor is not more than 4.5m above ground level). 2. Any cooking facilities within a room containing a gallery should comply with one of the following conditions: Visible area to 3m max. i. Be enclosed with fre resisting construction be at least 50% ii. Be remote from the stair to the gallery and positioned of foor area in such that they do not prejudice escape from the gallery. Exit lower room",,,
60,,15.16,Section 15 Access to buildings for firefighting,,"All floor identification signs should be supplemented by flat indicator signs, which provide information relating to the flats accessed on each storey. The flat indicator signs should meet all of the following conditions. a. The signs should be sited immediately below the floor identification signs, such that the top edge of the sign is no more than 50mm below the bottom edge of the floor identification sign. b. The wording should take the form Flats X-Y, with the lowest flat number first. c. The text should be in sans serif typeface with a letter height of at least half that of the floor indicator sign. d. The wording should be supplemented by arrows when flats are in more than one direction. e. The text and arrows should be on a contrasting background, easily legible and readable in low level lighting conditions or when illuminated with a torch. NOTE: In the case of multi-storey flats with two or more entrances, the flat number should only be indicated on the normal access storey. Evacuation alert systems",,,
61,Appendix D,Appendix D,"Appendix D , paragraphs D1 to D4.",", paragraphs D1 to D4. Protected shaft A shaft that enables people, air or objects to pass from one compartment to another, and which is enclosed with fire resisting construction. Notional boundary A boundary presumed to exist between two buildings on the same site. Open spatial planning The internal arrangement of a building in which more than one storey or level is contained in one undivided volume, e.g. split- level floors. For the purposes of this document there is a distinction between open spatial planning and an atrium space. Protected stairway A stair that leads to a final exit to a place of safety and that is adequately enclosed with fire resisting construction. Included in the definition is any exit passageway between the foot of the stair and the final exit. Purpose group A classification of a building according to the purpose to which it is intended to be put. (See Table 0.1.) Perimeter (of a building) The maximum aggregate plan perimeter, found by vertical projection onto a horizontal plane. (See Section 15 of Approved Document B Volume 2.) Relevant boundary The boundary or notional boundary that one side of the building faces and/ or coincides with, and that is paral…",", paragraphs D1 to D4. Protected stairway A stair that leads to a final exit to a place of safety and that is adequately enclosed with fire resisting construction. Included in the definition is any exit passageway between the foot of the stair and the final exit. Notional boundary A boundary presumed to exist between two buildings on the same site. Open spatial planning The internal arrangement of a building in which more than one storey or level is contained in one undivided volume, e.g. split-level floors. For the purposes of this document there is a distinction between open spatial planning and an atrium space. Purpose group A classification of a building according to the purpose to which it is intended to be put. (See Table 0.1.) Relevant boundary The boundary or notional boundary that one side of the building faces and/ or coincides with, and that is parallel or at an angle of a maximum of 80 degrees to that side of the building. Perimeter (of a building) The maximum aggregate plan perimeter, found by vertical projection onto a horizontal plane. (See Section 15 of Approved Document B Volume 2.) Rooflight A dome light, lantern light, skylight, ridge light, glazed barrel vault …",,,
62,Table B4,,Appendix C,"Continued Purpose group of building Minimum periods of fire resistance(1) (minutes) in a: Basement storey* including floor over Ground or upper storey Depth (m) of the lowest basement Height (m) of top floor above ground, in a building or separated part of a building More than 10 Up to 10 Up to 5 Up to 18 Up to 30 More than 30 b. car park for light vehicles: i. open sided car park(7) Not applicable Not applicable 15 min†# 15 min†#(8) 15 min†#(8) 60 min ii. any other car park 90 min 60 min 30 min† 60 min 90 min 120 min‡ For single storey buildings, the periods under the heading 'Up to 5' apply. If single storey buildings have basements, for the basement storeys the period appropriate to their depth applies. * For the floor over a basement or, if there is more than one basement, the floor over the topmost basement, the higher of the period for the basement storey and the period for the ground or upper storey applies. † For compartment walls that separate buildings, the period is increased to a minimum of 60 minutes. + For any floor that does not contribute to the support of the building within a flat of more than one storey, the period is reduced to 30 minutes. § For flat conversion…",,,,
63,Table 12.2,Table 12.2,Section 12 Resisting fire spread over roof,"Class D-s3, d2 plastic rooflights: limitations on use and boundary distance classification on lower surface(1) Space that rooflight can serve Minimum distance from any point on relevant boundary to rooflight with an external designation(2) of: EROOF(t4) or DROOF(t4) FROOF(t4) Class D-s3, d2 a. Balcony, verandah, carport, covered way or 6m 20m loading bay with at least one longer side wholly or permanently open b. Detached swimming pool c. Conservatory, garage or outbuilding, with a maximum floor area of 40m2 d. Circulation space(3) (except a protected 6m(4) 20m(4) stairway) e. Room(3) None of the above designations are suitable for protected stairways. Polycarbonate and uPVC rooflights that achieve a class C-s3, d2 rating by test (see paragraph 12.7) may be regarded as having a BROOF(t4) classification. Where Diagram 5.2a or 5.2b applies, rooflights should be a minimum of 1500mm from the compartment wall. If double-skinned or laminate products have upper and lower surfaces of different materials, the greater distance applies. 1. See also the guidance to requirement B2 in Section 4. 2. The designation of external roof surfaces is explained in Appendix B. 3. Single-skinned rooflight…","Class D-s3, d2 plastic rooflights: limitations on use and boundary distance classification on lower surface(1) Space that rooflight can serve Minimum distance from any point on relevant boundary to rooflight with an external designation(2) of: E (t4) or D (t4) F (t4) Class D-s3, d2 a. Balcony, verandah, carport, covered way or loading bay with at least one longer side wholly or permanently open 6m 20m b. Detached swimming pool c. Conservatory, garage or outbuilding, with a maximum floor area of 40m2 d. Circulation space(3) (except a protected stairway) 6m(4) 20m(4) e. Room(3) None of the above designations are suitable for protected stairways. Polycarbonate and uPVC rooflights that achieve a class C-s3, d2 rating by test (see paragraph 12.7) may be regarded as having a BROOF(t4) classification. Where Diagram 5.2a or 5.2b applies, rooflights should be a minimum of 1500mm from the compartment wall. If double-skinned or laminate products have upper and lower surfaces of different materials, the greater distance applies. 1. See also the guidance to requirement B2 in Section 4. 2. The designation of external roof surfaces is explained in Appendix B. 3. Single-skinned rooflight only, in…",,,
64,18.11,18.11,Appendix E Sprinklers,"Provision of smoke outlets - mechanical smoke extract E Design of sprinkler systems E3 Where required, sprinkler systems should be provided throughout the building or separated part, unless acting as a compensatory feature to address a specific risk. They should be designed and installed in accordance with the following. a. For residential buildings, the requirements of BS 9251. b. For non-residential buildings, or residential buildings outside the scope of BS 9251, the requirements of BS EN 12845, including the relevant hazard classification together with additional measures to improve system reliability and availability as described in Annex F of the standard. NOTE: Any sprinkler system installed to satisfy the requirements of Part B of the Building Regulations should be provided with additional measures to improve system reliability and availability and is therefore to be regarded as a life safety system. However, there may be some circumstances in which additional measures to improve system reliability and availability specified in Annex F of BS EN 12845 are inappropriate or unnecessary. E4 If the provisions in a building vary from those in this document, sprinkler protection …","Provision of smoke outlets - mechanical smoke extract E Design of sprinkler systems E3 Where required, sprinkler systems should be provided throughout the building or separated part, unless acting as a compensatory feature to address a specific risk. They should be designed and installed in accordance with the following. a. For residential buildings, the requirements of BS 9251. b. For non-residential buildings, or residential buildings outside the scope of BS 9251, the requirements of BS EN 12845, including the relevant hazard classification together with additional measures to improve system reliability and availability as described in Annex F of the standard. NOTE: Any sprinkler system installed to satisfy the requirements of Part B of the Building Regulations should be provided with additional measures to improve system reliability and availability and is therefore to be regarded as a life safety system. However, there may be some circumstances in which additional measures to improve system reliability and availability specified in Annex F of BS EN 12845 are inappropriate or unnecessary. E4 If the provisions in a building vary from those in this document, sprinkler protection …",,,
